session_id,device_id,session_start,session_end,game_title,game_category,plays,revenue_eur,error_count,age_group,event_log
S00000048,D0010,2025-11-25T17:38:00,2025-11-25T18:00:00,Neon Racer,Skill,8,10.23,0,25-34,info: session completed normally
S00000049,D0010,2025-11-25T17:37:00,2025-11-25T17:48:00,Space Spin,Arcade,2,2.8,1,35-44,info: standard telemetry event
S00000050,D0011,2025-11-25T17:37:00,2025-11-25T17:47:00,Neon Racer,Skill,4,5.29,1,25-34,info: no device exception
S00000051,D0012,2025-11-25T23:58:00,2025-11-26T00:12:00,Golden Safari,Adventure,2,2.71,0,45-54,info: standard telemetry event
S00000052,D0012,2025-11-25T16:44:00,2025-11-25T16:47:00,Fruit Galaxy,Classic,1,1.07,0,25-34,info: standard telemetry event
S00000053,D0012,2025-11-25T13:15:00,2025-11-25T13:39:00,Neon Racer,Skill,2,2.58,0,35-44,info: standard telemetry event
S00000054,D0012,2025-11-25T10:55:00,2025-11-25T11:16:00,Crystal Maze,Puzzle,4,0.69,5,25-34,warning: abnormal revenue drop and elevated error count
S00000055,D0012,2025-11-25T17:40:00,2025-11-25T17:53:00,Crystal Maze,Puzzle,5,6.82,0,55+,info: standard telemetry event
S00000056,D0012,2025-11-25T14:06:00,2025-11-25T14:22:00,Crystal Maze,Puzzle,2,2.22,0,35-44,info: standard telemetry event
S00000057,D0012,2025-11-25T23:16:00,2025-11-25T23:35:00,Lucky Harbor,Classic,3,3.14,0,25-34,info: standard telemetry event
S00000058,D0012,2025-11-25T23:20:00,2025-11-25T23:51:00,Fruit Galaxy,Classic,3,3.1,0,25-34,info: no device exception
S00000059,D0012,2025-11-25T14:08:00,2025-11-25T14:12:00,Fruit Galaxy,Classic,2,2.22,1,35-44,info: no device exception
S00000060,D0013,2025-11-25T19:10:00,2025-11-25T19:47:00,Mystic Wheels,Chance,13,16.58,2,25-34,info: session completed normally
S00000061,D0013,2025-11-25T08:09:00,2025-11-25T08:20:00,Golden Safari,Adventure,1,0.94,0,35-44,info: standard telemetry event
S00000062,D0013,2025-11-25T15:47:00,2025-11-25T16:03:00,Lucky Harbor,Classic,2,2.7,0,45-54,info: session completed normally
S00000063,D0013,2025-11-25T18:18:00,2025-11-25T18:34:00,Lucky Harbor,Classic,2,2.6,1,25-34,info: session completed normally
S00000064,D0013,2025-11-25T11:01:00,2025-11-25T11:24:00,Lucky Harbor,Classic,5,4.92,0,35-44,info: session completed normally
S00000065,D0013,2025-11-25T17:19:00,2025-11-25T17:43:00,Mystic Wheels,Chance,3,4.08,0,18-24,info: standard telemetry event
S00000066,D0014,2025-11-25T19:09:00,2025-11-25T19:12:00,Treasure Quest,Adventure,1,1.69,0,25-34,info: no device exception
S00000067,D0014,2025-11-25T16:06:00,2025-11-25T16:31:00,Mystic Wheels,Chance,7,13.89,1,45-54,info: no device exception
S00000068,D0015,2025-11-25T18:51:00,2025-11-25T18:54:00,Golden Safari,Adventure,1,1.27,0,45-54,info: session completed normally
S00000069,D0015,2025-11-25T22:01:00,2025-11-25T22:29:00,Lucky Harbor,Classic,5,6.6,0,25-34,info: standard telemetry event
S00000070,D0015,2025-11-25T15:55:00,2025-11-25T16:27:00,Crystal Maze,Puzzle,8,6.78,0,55+,info: session completed normally
S00000071,D0015,2025-11-25T08:00:00,2025-11-25T08:17:00,Lucky Harbor,Classic,4,4.53,0,18-24,info: standard telemetry event
S00000072,D0015,2025-11-25T17:31:00,2025-11-25T17:57:00,Fruit Galaxy,Classic,5,5.13,0,25-34,info: standard telemetry event
S00000073,D0016,2025-11-25T11:43:00,2025-11-25T11:57:00,Treasure Quest,Adventure,4,3.92,1,18-24,info: session completed normally
S00000074,D0016,2025-11-25T15:05:00,2025-11-25T15:08:00,Lucky Harbor,Classic,2,2.18,1,55+,info: session completed normally
S00000075,D0016,2025-11-25T14:44:00,2025-11-25T15:13:00,Fruit Galaxy,Classic,4,5.34,1,45-54,info: no device exception
S00000076,D0016,2025-11-25T23:34:00,2025-11-25T23:46:00,Neon Racer,Skill,4,4.64,0,25-34,info: no device exception
S00000077,D0017,2025-11-25T15:34:00,2025-11-25T15:52:00,Golden Safari,Adventure,3,4.08,0,45-54,info: standard telemetry event
S00000078,D0017,2025-11-25T17:00:00,2025-11-25T17:23:00,Space Spin,Arcade,4,4.93,5,35-44,warning: network synchronization delay
S00000079,D0017,2025-11-25T17:28:00,2025-11-25T17:55:00,Treasure Quest,Adventure,6,8.29,0,55+,info: no device exception
S00000080,D0017,2025-11-25T13:31:00,2025-11-25T13:52:00,Fruit Galaxy,Classic,5,5.34,0,35-44,info: session completed normally
S00000081,D0017,2025-11-25T10:44:00,2025-11-25T11:02:00,Lucky Harbor,Classic,4,4.89,2,18-24,info: no device exception
S00000082,D0018,2025-11-25T12:04:00,2025-11-25T12:17:00,Neon Racer,Skill,4,4.71,0,35-44,info: session completed normally
S00000083,D0018,2025-11-25T17:53:00,2025-11-25T18:20:00,Mystic Wheels,Chance,5,8.26,0,25-34,info: session completed normally
S00000084,D0018,2025-11-25T19:54:00,2025-11-25T20:21:00,Golden Safari,Adventure,8,12.1,1,18-24,info: standard telemetry event
S00000085,D0019,2025-11-25T10:36:00,2025-11-25T10:51:00,Lucky Harbor,Classic,1,1.47,0,25-34,info: no device exception
S00000086,D0019,2025-11-25T15:29:00,2025-11-25T15:51:00,Golden Safari,Adventure,6,9.06,0,35-44,info: session completed normally
S00000087,D0019,2025-11-25T18:23:00,2025-11-25T18:43:00,Lucky Harbor,Classic,2,2.74,0,35-44,info: no device exception
S00000088,D0019,2025-11-25T14:45:00,2025-11-25T15:09:00,Neon Racer,Skill,9,10.81,1,18-24,info: standard telemetry event
S00000089,D0019,2025-11-25T16:39:00,2025-11-25T16:59:00,Neon Racer,Skill,4,4.12,0,18-24,info: no device exception
S00000090,D0019,2025-11-25T09:45:00,2025-11-25T09:54:00,Lucky Harbor,Classic,1,1.28,0,18-24,info: session completed normally
S00000091,D0019,2025-11-25T17:14:00,2025-11-25T17:34:00,Mystic Wheels,Chance,6,8.91,0,35-44,info: standard telemetry event
S00000092,D0019,2025-11-25T16:26:00,2025-11-25T16:47:00,Lucky Harbor,Classic,7,10.32,1,18-24,info: standard telemetry event
S00000093,D0020,2025-11-25T16:41:00,2025-11-25T17:02:00,Lucky Harbor,Classic,4,5.62,1,25-34,info: no device exception
S00000094,D0020,2025-11-25T11:27:00,2025-11-25T11:56:00,Lucky Harbor,Classic,4,4.81,0,35-44,info: no device exception
S00000095,D0020,2025-11-25T21:47:00,2025-11-25T22:27:00,Golden Safari,Adventure,8,10.72,1,35-44,info: session completed normally
S00000096,D0020,2025-11-25T13:14:00,2025-11-25T13:38:00,Space Spin,Arcade,8,12.94,0,25-34,info: no device exception
S00000097,D0020,2025-11-25T18:30:00,2025-11-25T18:39:00,Lucky Harbor,Classic,5,8.76,1,18-24,info: session completed normally
S00000098,D0020,2025-11-25T16:34:00,2025-11-25T17:01:00,Treasure Quest,Adventure,3,4.9,0,45-54,info: no device exception
S00000099,D0020,2025-11-25T15:52:00,2025-11-25T16:08:00,Treasure Quest,Adventure,4,4.64,1,25-34,info: session completed normally
S00000100,D0020,2025-11-25T21:25:00,2025-11-25T21:53:00,Golden Safari,Adventure,7,10.54,1,25-34,info: standard telemetry event
S00000101,D0020,2025-11-25T14:23:00,2025-11-25T14:49:00,Space Spin,Arcade,6,8.66,3,55+,info: session completed with recoverable device event
S00000102,D0020,2025-11-25T14:56:00,2025-11-25T15:01:00,Golden Safari,Adventure,2,4.17,0,25-34,info: standard telemetry event
S00000103,D0021,2025-11-25T12:17:00,2025-11-25T12:34:00,Crystal Maze,Puzzle,4,3.99,0,18-24,info: no device exception
S00000104,D0021,2025-11-25T12:50:00,2025-11-25T13:07:00,Mystic Wheels,Chance,4,5.31,0,25-34,info: standard telemetry event
S00000105,D0021,2025-11-25T14:03:00,2025-11-25T14:27:00,Golden Safari,Adventure,4,6.13,0,35-44,info: standard telemetry event
S00000106,D0022,2025-11-25T13:14:00,2025-11-25T13:50:00,Space Spin,Arcade,7,6.93,1,18-24,info: no device exception
S00000107,D0022,2025-11-25T15:03:00,2025-11-25T15:31:00,Fruit Galaxy,Classic,4,5.02,1,25-34,info: standard telemetry event
S00000108,D0022,2025-11-25T13:48:00,2025-11-25T13:56:00,Fruit Galaxy,Classic,3,3.6,0,45-54,info: standard telemetry event
S00000109,D0022,2025-11-25T18:58:00,2025-11-25T19:20:00,Treasure Quest,Adventure,4,5.15,0,45-54,info: no device exception
S00000110,D0023,2025-11-25T19:04:00,2025-11-25T19:35:00,Golden Safari,Adventure,5,6.78,0,18-24,info: standard telemetry event
S00000111,D0023,2025-11-25T18:22:00,2025-11-25T18:45:00,Crystal Maze,Puzzle,4,0.25,8,35-44,warning: abnormal revenue drop and elevated error count
S00000112,D0023,2025-11-25T17:40:00,2025-11-25T17:56:00,Golden Safari,Adventure,5,7.03,0,25-34,info: no device exception
S00000113,D0023,2025-11-25T23:51:00,2025-11-26T00:10:00,Treasure Quest,Adventure,4,5.78,2,25-34,info: session completed normally
S00000114,D0023,2025-11-25T16:33:00,2025-11-25T16:36:00,Mystic Wheels,Chance,2,2.75,1,25-34,info: standard telemetry event
S00000115,D0023,2025-11-25T08:07:00,2025-11-25T08:15:00,Golden Safari,Adventure,3,4.37,1,18-24,info: session completed normally
S00000116,D0023,2025-11-25T10:25:00,2025-11-25T10:52:00,Neon Racer,Skill,5,6.45,0,18-24,info: no device exception
S00000117,D0023,2025-11-25T15:34:00,2025-11-25T15:37:00,Treasure Quest,Adventure,1,1.45,0,25-34,info: no device exception
S00000118,D0023,2025-11-25T23:11:00,2025-11-25T23:32:00,Neon Racer,Skill,6,6.49,2,25-34,info: session completed normally
S00000119,D0024,2025-11-25T17:00:00,2025-11-25T17:21:00,Fruit Galaxy,Classic,6,4.99,0,45-54,info: no device exception
S00000120,D0024,2025-11-25T17:50:00,2025-11-25T17:58:00,Golden Safari,Adventure,1,1.49,0,25-34,info: no device exception
S00000121,D0024,2025-11-25T19:37:00,2025-11-25T19:42:00,Lucky Harbor,Classic,1,1.25,0,45-54,info: standard telemetry event
S00000122,D0024,2025-11-25T17:50:00,2025-11-25T18:19:00,Golden Safari,Adventure,7,7.91,1,25-34,info: session completed normally
S00000123,D0025,2025-11-25T08:16:00,2025-11-25T08:38:00,Mystic Wheels,Chance,5,7.77,0,25-34,info: standard telemetry event
S00000124,D0025,2025-11-25T18:58:00,2025-11-25T19:18:00,Mystic Wheels,Chance,5,6.47,1,25-34,info: session completed normally
S00000125,D0026,2025-11-25T21:11:00,2025-11-25T21:21:00,Space Spin,Arcade,2,2.73,0,55+,info: standard telemetry event
S00000126,D0026,2025-11-25T12:39:00,2025-11-25T12:50:00,Lucky Harbor,Classic,3,3.75,1,25-34,info: session completed normally
S00000127,D0026,2025-11-25T13:58:00,2025-11-25T14:04:00,Lucky Harbor,Classic,1,1.3,0,35-44,info: no device exception
S00000128,D0026,2025-11-25T22:04:00,2025-11-25T22:19:00,Golden Safari,Adventure,2,3.03,0,25-34,info: session completed normally
S00000129,D0026,2025-11-25T21:27:00,2025-11-25T22:03:00,Golden Safari,Adventure,11,13.04,1,25-34,info: standard telemetry event
S00000130,D0026,2025-11-25T15:38:00,2025-11-25T15:41:00,Space Spin,Arcade,2,3.17,1,55+,info: standard telemetry event
S00000131,D0027,2025-11-25T10:48:00,2025-11-25T11:07:00,Neon Racer,Skill,2,2.14,0,25-34,info: no device exception
S00000132,D0027,2025-11-25T11:08:00,2025-11-25T11:28:00,Space Spin,Arcade,6,7.53,0,45-54,info: session completed normally
S00000133,D0027,2025-11-25T08:54:00,2025-11-25T09:27:00,Space Spin,Arcade,5,4.82,2,25-34,info: session completed normally
S00000134,D0027,2025-11-25T08:45:00,2025-11-25T08:52:00,Golden Safari,Adventure,5,7.81,0,45-54,info: no device exception
S00000135,D0027,2025-11-25T18:29:00,2025-11-25T18:49:00,Space Spin,Arcade,4,5.26,3,55+,info: session completed with recoverable device event
S00000136,D0027,2025-11-25T16:24:00,2025-11-25T16:41:00,Mystic Wheels,Chance,5,7.42,0,55+,info: standard telemetry event
S00000137,D0028,2025-11-25T19:58:00,2025-11-25T20:12:00,Mystic Wheels,Chance,2,2.21,0,55+,info: no device exception
S00000138,D0028,2025-11-25T11:15:00,2025-11-25T11:34:00,Crystal Maze,Puzzle,4,3.76,0,45-54,info: session completed normally
S00000139,D0028,2025-11-25T10:40:00,2025-11-25T11:06:00,Golden Safari,Adventure,3,3.64,1,35-44,info: session completed normally
S00000140,D0028,2025-11-25T09:00:00,2025-11-25T09:03:00,Golden Safari,Adventure,1,1.09,0,35-44,info: session completed normally
S00000141,D0028,2025-11-25T10:31:00,2025-11-25T10:43:00,Space Spin,Arcade,5,4.76,1,55+,info: no device exception
S00000142,D0029,2025-11-25T16:38:00,2025-11-25T16:54:00,Fruit Galaxy,Classic,3,3.45,0,45-54,info: standard telemetry event
S00000143,D0029,2025-11-25T18:55:00,2025-11-25T18:58:00,Lucky Harbor,Classic,1,1.2,0,35-44,info: standard telemetry event
S00000144,D0029,2025-11-25T19:13:00,2025-11-25T19:40:00,Space Spin,Arcade,5,7.14,0,18-24,info: no device exception
S00000145,D0030,2025-11-25T18:59:00,2025-11-25T19:17:00,Crystal Maze,Puzzle,6,6.37,1,45-54,info: no device exception
S00000146,D0030,2025-11-25T17:14:00,2025-11-25T17:17:00,Space Spin,Arcade,4,4.77,0,35-44,info: standard telemetry event
S00000147,D0030,2025-11-25T13:35:00,2025-11-25T13:53:00,Golden Safari,Adventure,6,7.97,0,18-24,info: no device exception
S00000148,D0030,2025-11-25T17:24:00,2025-11-25T17:36:00,Fruit Galaxy,Classic,1,0.9,0,35-44,info: session completed normally
S00000149,D0030,2025-11-25T20:28:00,2025-11-25T20:51:00,Lucky Harbor,Classic,3,4.18,0,35-44,info: session completed normally
S00000150,D0030,2025-11-25T15:03:00,2025-11-25T15:09:00,Space Spin,Arcade,3,3.8,1,45-54,info: session completed normally
S00000151,D0030,2025-11-25T16:20:00,2025-11-25T16:34:00,Fruit Galaxy,Classic,5,5.68,0,18-24,info: standard telemetry event
S00000152,D0030,2025-11-25T13:57:00,2025-11-25T14:00:00,Lucky Harbor,Classic,1,1.24,1,18-24,info: session completed normally
S00000153,D0030,2025-11-25T13:49:00,2025-11-25T13:56:00,Treasure Quest,Adventure,1,1.09,0,25-34,info: standard telemetry event
S00000154,D0030,2025-11-25T20:10:00,2025-11-25T20:28:00,Space Spin,Arcade,8,9.06,0,25-34,info: session completed normally
S00000155,D0030,2025-11-25T15:25:00,2025-11-25T15:43:00,Space Spin,Arcade,2,2.56,0,35-44,info: no device exception
S00000156,D0031,2025-11-25T12:47:00,2025-11-25T13:00:00,Mystic Wheels,Chance,3,4.36,0,18-24,info: session completed normally
S00000157,D0031,2025-11-25T11:55:00,2025-11-25T12:03:00,Space Spin,Arcade,3,3.01,0,35-44,info: no device exception
S00000158,D0031,2025-11-25T19:08:00,2025-11-25T19:18:00,Golden Safari,Adventure,2,2.5,0,18-24,info: no device exception
S00000159,D0031,2025-11-25T10:32:00,2025-11-25T10:58:00,Golden Safari,Adventure,6,7.89,0,25-34,info: no device exception
S00000160,D0032,2025-11-25T09:29:00,2025-11-25T09:46:00,Lucky Harbor,Classic,4,4.84,0,18-24,info: no device exception
S00000161,D0032,2025-11-25T14:24:00,2025-11-25T14:45:00,Golden Safari,Adventure,6,8.23,2,35-44,info: standard telemetry event
S00000162,D0032,2025-11-25T15:37:00,2025-11-25T15:56:00,Mystic Wheels,Chance,8,12.22,1,25-34,info: session completed normally
S00000163,D0032,2025-11-25T22:26:00,2025-11-25T22:42:00,Crystal Maze,Puzzle,3,3.14,0,25-34,info: no device exception
S00000164,D0032,2025-11-25T16:59:00,2025-11-25T17:14:00,Space Spin,Arcade,4,5.34,1,25-34,info: no device exception
S00000165,D0033,2025-11-25T18:06:00,2025-11-25T18:25:00,Lucky Harbor,Classic,2,2.99,0,55+,info: session completed normally
S00000166,D0033,2025-11-25T20:10:00,2025-11-25T20:31:00,Golden Safari,Adventure,4,6.89,1,25-34,info: session completed normally
S00000167,D0034,2025-11-25T13:11:00,2025-11-25T13:20:00,Crystal Maze,Puzzle,2,2.43,0,25-34,info: no device exception
S00000168,D0034,2025-11-25T18:35:00,2025-11-25T19:04:00,Lucky Harbor,Classic,3,3.9,0,55+,info: session completed normally
S00000169,D0034,2025-11-25T09:13:00,2025-11-25T09:39:00,Space Spin,Arcade,4,4.49,0,18-24,info: standard telemetry event
S00000170,D0034,2025-11-25T14:42:00,2025-11-25T14:51:00,Treasure Quest,Adventure,2,2.81,0,35-44,info: no device exception
S00000171,D0035,2025-11-25T18:04:00,2025-11-25T18:31:00,Lucky Harbor,Classic,6,10.02,3,35-44,warning: coin validator retry event
S00000172,D0035,2025-11-25T11:50:00,2025-11-25T12:14:00,Crystal Maze,Puzzle,3,3.17,1,35-44,info: session completed normally
S00000173,D0035,2025-11-25T15:11:00,2025-11-25T15:23:00,Lucky Harbor,Classic,4,4.39,0,45-54,info: no device exception
S00000174,D0035,2025-11-25T12:51:00,2025-11-25T13:01:00,Mystic Wheels,Chance,1,2.07,1,18-24,info: no device exception
S00000175,D0035,2025-11-25T13:43:00,2025-11-25T13:52:00,Treasure Quest,Adventure,4,6.32,1,45-54,info: standard telemetry event
S00000176,D0035,2025-11-25T13:31:00,2025-11-25T13:52:00,Treasure Quest,Adventure,3,5.09,1,25-34,info: no device exception
S00000177,D0036,2025-11-25T22:20:00,2025-11-25T22:39:00,Mystic Wheels,Chance,5,8.56,0,45-54,info: session completed normally
S00000178,D0036,2025-11-25T10:27:00,2025-11-25T10:48:00,Crystal Maze,Puzzle,2,2.63,0,25-34,info: no device exception
S00000179,D0036,2025-11-25T17:30:00,2025-11-25T17:43:00,Neon Racer,Skill,2,2.51,0,45-54,info: session completed normally
S00000180,D0036,2025-11-25T10:37:00,2025-11-25T11:03:00,Crystal Maze,Puzzle,2,2.69,0,35-44,info: no device exception
S00000181,D0037,2025-11-25T22:59:00,2025-11-25T23:16:00,Lucky Harbor,Classic,2,2.66,0,25-34,info: session completed normally
S00000182,D0037,2025-11-25T16:15:00,2025-11-25T16:32:00,Golden Safari,Adventure,5,6.43,1,35-44,info: standard telemetry event
S00000183,D0037,2025-11-25T14:24:00,2025-11-25T14:47:00,Crystal Maze,Puzzle,5,5.38,1,25-34,info: session completed normally
S00000184,D0038,2025-11-25T11:23:00,2025-11-25T11:50:00,Fruit Galaxy,Classic,6,7.59,2,45-54,info: session completed normally
S00000185,D0038,2025-11-25T17:49:00,2025-11-25T18:05:00,Neon Racer,Skill,2,3.04,0,35-44,info: no device exception
S00000186,D0038,2025-11-25T10:31:00,2025-11-25T10:34:00,Space Spin,Arcade,1,1.5,0,25-34,info: no device exception
S00000187,D0038,2025-11-25T16:58:00,2025-11-25T17:08:00,Space Spin,Arcade,1,1.56,0,25-34,info: session completed normally
S00000188,D0038,2025-11-25T20:20:00,2025-11-25T20:44:00,Fruit Galaxy,Classic,8,11.03,1,25-34,info: standard telemetry event
S00000189,D0039,2025-11-25T19:40:00,2025-11-25T19:53:00,Lucky Harbor,Classic,3,3.51,0,25-34,info: no device exception
S00000190,D0039,2025-11-25T19:46:00,2025-11-25T20:05:00,Crystal Maze,Puzzle,4,3.7,0,35-44,info: session completed normally
S00000191,D0039,2025-11-25T16:03:00,2025-11-25T16:21:00,Golden Safari,Adventure,3,3.47,0,35-44,info: session completed normally
S00000192,D0039,2025-11-25T16:25:00,2025-11-25T17:01:00,Crystal Maze,Puzzle,9,7.8,0,25-34,info: no device exception
S00000193,D0040,2025-11-25T16:17:00,2025-11-25T16:40:00,Fruit Galaxy,Classic,4,4.15,0,45-54,info: no device exception
S00000194,D0040,2025-11-25T13:15:00,2025-11-25T13:28:00,Lucky Harbor,Classic,1,1.32,0,25-34,info: no device exception
S00000195,D0040,2025-11-25T20:53:00,2025-11-25T20:57:00,Mystic Wheels,Chance,2,2.3,0,55+,info: session completed normally
S00000196,D0040,2025-11-25T11:06:00,2025-11-25T11:26:00,Lucky Harbor,Classic,3,3.67,0,18-24,info: standard telemetry event
S00000197,D0041,2025-11-25T23:52:00,2025-11-26T00:15:00,Neon Racer,Skill,3,3.2,0,18-24,info: no device exception
S00000198,D0041,2025-11-25T16:32:00,2025-11-25T16:48:00,Golden Safari,Adventure,4,5.3,1,35-44,info: standard telemetry event
S00000199,D0041,2025-11-25T17:21:00,2025-11-25T17:35:00,Space Spin,Arcade,4,3.92,0,35-44,info: no device exception
S00000200,D0041,2025-11-25T15:03:00,2025-11-25T15:15:00,Mystic Wheels,Chance,7,9.14,0,35-44,info: standard telemetry event
S00000201,D0041,2025-11-25T17:29:00,2025-11-25T17:38:00,Golden Safari,Adventure,3,3.24,1,25-34,info: no device exception
S00000202,D0041,2025-11-25T14:25:00,2025-11-25T14:52:00,Lucky Harbor,Classic,5,1.07,8,18-24,warning: abnormal revenue drop and elevated error count
S00000203,D0042,2025-11-25T20:56:00,2025-11-25T21:18:00,Crystal Maze,Puzzle,4,4.98,0,25-34,info: session completed normally
S00000204,D0042,2025-11-25T15:49:00,2025-11-25T16:03:00,Neon Racer,Skill,1,1.18,0,18-24,info: standard telemetry event
